ship_name,id,title,category,comment
0,100,Bible lane,General,The laneway has been damaged since ACTEWAGL moved into their building. The gutter needs replacing as well.
1,1007,Pot hole,General,3rd lane has a pot hole
2,1010,Abandoned cars,General,"Hi I would like to report there are two abandoned cars parked in front of 81 Boundary Street, Granville NSW 2142. It's been parked since more than three months and registrations for both cars has been expired. Thanks"
3,1011,Traffic light,General,Traffic light stop too long especially early hour in the morning when I want to turn from Davis road into widemere road to Greystanes and the road is quite
4,1012,"Large, Growing pothole",General,"There is a large and beyond dangerous pothole outside of 26 Joppa Street, Niagara Park. it has been growing for months and is becoming a serious problem."
5,1013,Giant pot hole 2.0,General,Huge pothole in the same area again!
6,1014,Graffiti,General,There is new Graffiti on this street and it looks terrible
7,1015,Deep Hole at end of driveway in 4 Inala Close,General,Deep hole at end of Driveway. Reported 4 months ago to council.
8,1017,Broken traffic light,Streetlight,The traffic light on woodville road heading south at this intersection (woodville rd and guildford rd) does not turn red but works fine when green.
9,1019,Pot holes,General,"Two large, deep pot holes have developed over the past three weeks, excarcerbated by recent rain"
10,102,Pothole from rain,General,"There's quite a deep pothole here at the central intersection in Cooranbong, which could cause damage to vehicles that drop a wheel into it."
11,1023,Time for another try,General,This one looks to have been patched before but it's re-emerged!
12,1024,Small potholes in middle of road just before bridge,General,The road is starting to open up just before the bridge heading from Morisset.
13,1025,Deep potholes near Deeves Road,General,Here's some deep potholes right on the main wheel line on Freemans Drive. Could definitely cause car damage.
14,1026,Large pothole needs filling/repair,General,V.Near the entry to 41 Oak Rd on left side as your drive along Oak Rd from Coachwood Rd
15,103,Graffiti / Tree Removal / Broken Conctete Kerb,General,Removal of graffiti is needed from the back of the wall which separates the centre from the walkway of Fadden Shopping Centre the hairdresser end facing government land which is unsightly to the residents living nearby. The removal of a fallen tree which is on government land off the cyclone fencing which separates the Tuggeranong Vet carpark from government land. The removal of a large block of concrete from the kerb/road running into the vet hospital carpark before it does some damage to clients vehicles. Thank you.
16,1031,Flooding of Pathway,General,"Whenever there is heavy rain the pathway between Fitzroy Street and New South Wales Crescent floods. The water runs from Empire Cir across Fitzroy Street and along the pathway at the boundary of our building (Empire on the Park, 9 Fitzroy Street) in copious quantities getting into the basement garage of our building. The gutter and drains on Fitzroy Street are unable to cope with this water. Our front doors open onto this pathway, and when the pathway floods we are unable to safely get out of our building."
17,1032,Pothole in turning lane,General,"Large pothole appearing in the Patrick St turning lane from Newton Road. Loose bitumen lying on the road, with hole getting progressively bigger."
18,1034,Large pothole,General,"Large pothole present middle of the road on the left side heading towards woy woy, put a hole in my tyre this morning. Very dangerous"
19,1039,Davies Rd Padstow Hts travelling in the direction Menai,General,Section on Davies Rd after the latest resurfaced section which was done after Burradoo Street intersection still travelling towards Alma Rd intersection the section of road on the left lane is needing a resurface too. As I drive on the road and there is noway to stop and take an image of this section this is approx.
20,104,Bag of gravel on road,General,"There is a burst bag of gravel near the bus stop on Bridge Rd, the stones are loose and cyclists need to swerve to avoid. As this is a high traffic/cycle area it's quite a hazard."
21,1042,"Pot Holes and missing Street sign - Liam St, Schofields",General,"There are a number of fixes required at the intersection of Liam Street and St. Albans Road, Schofields. 1. Two big pot holes at the intersection 2. Liam Street - sign post is missing 3. Give Way sign is falling down 4. Intersection of Liam St and St. Albans Road is always filled with water and dirt because the level of the road suddenly drops here. Needs to be raised slightly."
22,1043,Street light's out,General,Street light near 121 st johns rd auburn 2144 is out for more than a month. Very dark at night and can't see the padestarian while driving in or out of the drive way. Please need an immediate fix. Thanks you
23,105,Grass,General,Nature strip(s) need mowing please.
24,1059,Road,General,The whole Laneway needs to be resurfaced
25,106,Street lighting,General,Street light on a path from Nicklin cres to Stoppford between numbers 21 and 23 is not working
26,1061,Broken Telstra pit cover,General,"The pit cover is broken and a trip hazard. We reported 12 months ago and somebody put a barrier around it and has left it unfixed. Not only is this a trip hazard for the elderly in the area, it's unsightly."
27,1063,Pot hole,General,There is a large pothole on the cnr of reading ave & joseph banks drive (turning left off joseph banks turning into reading ave). Its been there since before Xmas & can cause accidents avoiding it or damage to car suspensions.
28,1064,Light phasing bias against traffic,General,Lights at burns rd x bobbin head rd causing extensive delays on burns rd. Relatively little N-S traffic on bobbin head rd overly favoured. Has been like this for years. Similar problem at burns x eastern rd. Long delays at both.
29,1065,Trip hazard on pavement,General,The papers are under even and create a trip hazard
30,1075,Blocked Drain,General,Everytime in rains the corner of William Mannix Ave and Currans Hill Drive floods.
31,1076,The roundabout,General,It has poor visibility of the oncoming traffic heading from Popondetta Rd ( near swimming pool) across Jersey road to the otherside towards McDonalds! a low car has to wait until the oncoming car is half way around to see the indicator which holds up traffic and people behind get frustratex and start beeping their horn as they have much better visibility being further back too!
32,1077,Street lights out,General,The street lights around this side have been out for years and it is pitch black at night! I am concerned for our safety as you literally cannot see a thing! And the street name is spelt wrong in this site which is why I could not locate it with the name! Capparis Circuit
33,108,My house shaking because of street traffic,General,"Because of bus traffic along beams road and the high speeds that they travel at, my house at 541 constantly shakes violently every time a bus thunders pass. I believe the condition of the road surface are adding to the problem. I think the biggest problem is the speeding buses and trucks. I have noticed cracking on the ceiling of my property . The vibration and shaking is almost constant, and at peak bus times is unbearable."
34,1085,2 potholes in middle of street,Pothole,There are two sizeable potholes situated in the middle of Yargo street that have been increasing quickly in size over the past few weeks.
35,1086,Street Light Missing - Springfield Way,General,"There used to be a street light in Springfield Way, opposite Highview Place. Now there's only a yellow metal(?) thing. It has been weeks, maybe even months since the light disappeared. This section of the street is now very dark."
36,1088,"Huge pot hole, slightly right to the middle of the road, just after the roundabout.",General,"Must have been caused by the rain that we've been having in the area, but there is a huge pot hole just beyond the roundabout on Sentry Drive, Stanhope Gardens. Usually I remember that it's there and avoid it, but this time I was stuck in a bit of a traffic jam and as a result completely bottomed out my right suspension system, front and back... This was probably the largest bang i've ever heard while driving.. Seriously you really need to fix it... not only is it dangerous to try to avoid it, but if you do happen to run over it you will be disorientated for a few seconds because the impact is so heavy."
37,110,Potholes,General,Another pothole in this area where there is a patchwork of previous repairs.
38,1100,Pot holes - bumpy road,General,Large trucks using road from 6am. Surface very uneven and if raining has large pot holes which are filled in wet weather and bingo - there again the following morning
39,1101,2 potholes,General,Two potholes on frith St outside #48
40,1103,Excessive speeding cars and motorbikes,General,Cars and motorbikes go way too quick up and down street. Someone is bound to get killed. Need speed humps or chicane.
41,1105,More pot holes,General,Hi there are three pot holes about 12feet apart in the first part of Wentworth Rd Macquarie Hiils. There are two pot holes in Pasadena cres just near the high intersection of Caliente st. I have rung once about potholes and the council was there in no time. Regards S Bashford
42,111,Pothole trap for wheelchair front wheel,General,"This pothole is right where the footpath curb goes down to meet the road and has almost tipped my aged mother-in-law out of her wheelchair as we've gone to cross the road, because the front wheel sent down into this seemingly innocuous pothole. It would be great to have this fixed at same time as more noticeable ones on the road."
43,1110,Street light out,General,"Street light out making the street very dark. Western side of the street, last light before Osgood Ave."
44,1112,"Incorrect Signage, Eastbound lanes",General,Approximately six months ago the intersection of Macquarie Road and the Great Western Highway was modified to prevent Macquarie Road traffic turning right onto the highway. Traffic travelling eastbound on the highway and approaching the site of the previous intersection see a sign warning of an intersection which no longer exists.
45,1113,Drug Dealing,General,"Young drivers, P plate drivers continually use this quiet dead end street to deal drugs and take drugs. They also park inside the Sir Eric Woodward memorial school to do the same. Drug paraphernalia and rubbish left both on the road and in the school car park."
46,1114,Congested and pavement damage,General,This street is a main road with a massive amount of traffic on it each day. Yet it is narrow and the pavement is damaged severely. Cars are parked on both sides of the street even though it is not wide enough to carry the sheer volume of traffic due to council approving high density housing yet not providing adequate off street parking. Being close to the university also means foot traffic is high yet there is no foot path but rough and damaged sides. Very run down and over used street.
47,1115,No Parking: Kiss and ride,General,"Outside Edgeworth Public School There are sins No Parking with Kiss and ride. I understand the kiss and ride in the morning, but in the afternoon cars are parked for 20 to 30 minutes in a no Parking zone waiting to pick up their kids. Some park across the crossing and the gate to the carpark. Some do a U-turn over double lines to park. This is creating a very dangerous situation. I have seen cars narrowly miss the Lollipop lady and other pedestrians including myself and my granddaughter."
48,1116,Roundabout sign knocked down,General,Roundabout sign on the northbound approach to this round about has been struck down flat. Still in ground but very dangerous.
49,1121,2 street lights not working,General,2 street lights not working on fitzroy st between Sydenham road and hans place on the bowling club side of the street
50,1122,Large pot hole,General,Large pot hole just next to the crossing near Bathurst bakery 12months
51,1123,"Need a roundabout at the intersection of Brickfield and Gladstone Streets, North Parramatta, NSW, 2151.",Road Signs,"This intersection have frequent ""near hits"" on a daily basis. The nearby intersections have roundabouts except Brickfield/Gladstone Streets which is very perplexing to me. I've submitted my request to Councillor James Shaw on 26/11/2015 which he passed on my request to Parramatta's Council's Traffic Committee. Since then I haven't heard any news of the outcome of my request."
52,1124,Footpath & ...drain,General,The drain outside ... 96 virgil av has dropped ... and weeds are also growing ...i have reported this to the Bankston council ...approxx 1 year ago ... nothing done ..its getting worse .... also grass not growing & always mud ...very unstable to walk We have had couple falls already My wife had had 2 knee operations from previous injury ...concrete slab would help... thank you luigi martusciello .
53,1125,Street light is off,General,Intersection of Salford Street Stanhope Gardens & perfection ave Stanhope Gardens
54,1128,Road is not wide enough,General,The whole of Appin road from rosemeadow to Bulli is a death trap and really needs widening or turned into dual carriageway
55,1129,Cars parked in street not allowing safe passage for other cars and also pedestrians,General,"The amount of cars that park on both sides of this street is dangerous to traffic especially when coming around corner. No room for pedestrians as there is no path and pedestrians must use the road also have to go around parked cars and when two cars are conversing in opposite directions it is very dangerous. Many cars have been side swiped in this street, next will be a pedestrian"
56,1131,Parking white lines in Wire Lane .,General,"At the moment vehicles are able to park at the intersection of Wire Lane and Crookston Drive due to first and second housing developements not changing the road markings .As the roads have traffic islands ,bigger vehicles have difficulty turning into Crookston Drive due parked vehicles on the end of the street.Crookston Drive is also a bus route."
57,1133,Cars and trucks travel too fast,General,We need a speed hump near No 18 Cascade Street
58,1136,Potholes in new surface,General,"The road was dug up, new base and geo fabric laid. The road was then covered in large gravel and sprayed with tar. Les than a week later we have potholes."
59,1139,New app,General,Fix my street
