index,id,title,category,comment
0,10,Grass is 2m high,Overgrown Vegetation,Grass is terribly overgrown and has been for months now. Please mow
1,100,Bible lane,General,The laneway has been damaged since ACTEWAGL moved into their building. The gutter needs replacing as well.
2,1004,Dangerous corner,General,"Cars use Elanora Rd as a shortcut from Powderworks Rd to Wakehurst Parkway. Forgetting the excess speed, this corner sees most cars heading north, veer onto the wrong side of the road as they accelerate up the hill and round the bend. Road markings would at least make drivers more aware of the road division and possibly prevent head on collisions"
3,1005,Range Road via Mittagong nsw potholes,General,"When turning off Tourist Road onto Range Road at Glenquarry drive up the hill and you will soon come across some horrendous potholes that are very deep and dangerous. This problem is along the road and goes on for a way past a property called ""Yellowstone standard Bred Stud"". The road is very narrow and the potholes are too numerous to miss and there are quite a bit of traffic that do use the road. Yours sincerely Mrs Angela McLeod"
4,1006,Bad gap in the pavement,General,"Across the intersection from Collins Street and the Princes Highway, on the Eastern side, there is a noticeable gap or ditch in the street. It looks like someone has dug it up across Collins Street, and they haven't filled it in properly. There is a lot of people having to slow down to get across Collins Street, which is where the traffic lights are, and it could cause an accident as the following people have to brake suddenly to avoid crashing into the car slowing to get across it. It needs to be fixed."
5,1007,Pot hole,General,3rd lane has a pot hole
6,1008,Evans Road Hornsby Heights NSW,General,I have noticed one pot hole fixed but there is one more not fixed closer to Kliah Close. There is one developing close to 2 Evans Road. As well the entrance to Evans Road from Galston Road is a pretty mess with the road deteriorating at the section. Please give it your urgent attention. Thanks.
7,101,Traffic light sensitivity,General,"When turning right from Morris St onto Sturt St on bicycle, I have to either use the pedestrian crossing button, or wait for a car/bus/truck. This is not always reliable at 0500 most mornings."
8,1010,Abandoned cars,General,"Hi I would like to report there are two abandoned cars parked in front of 81 Boundary Street, Granville NSW 2142. It's been parked since more than three months and registrations for both cars has been expired. Thanks"
9,1011,Traffic light,General,Traffic light stop too long especially early hour in the morning when I want to turn from Davis road into widemere road to Greystanes and the road is quite
10,1012,"Large, Growing pothole",General,"There is a large and beyond dangerous pothole outside of 26 Joppa Street, Niagara Park. it has been growing for months and is becoming a serious problem."
11,1013,Giant pot hole 2.0,General,Huge pothole in the same area again!
12,1014,Graffiti,General,There is new Graffiti on this street and it looks terrible
13,1015,Deep Hole at end of driveway in 4 Inala Close,General,Deep hole at end of Driveway. Reported 4 months ago to council.
14,1016,Bend on crest causes drivers to veer on wrong side,General,People often veer onto the wrong side on this crest Bea use of the bend. It would be great to have a centre line painted down thus section before someone has a head on.
15,1017,Broken traffic light,Streetlight,The traffic light on woodville road heading south at this intersection (woodville rd and guildford rd) does not turn red but works fine when green.
16,1018,No parking & carn't enter own property,General,People parking Vehicles across our driveways & blocking our driveway to access the M2 buss stop & council rangers do not come often enough during the week to book vehicles that exceed the 4hour parking limit. Our street has turned into a lane way.
17,1019,Pot holes,General,"Two large, deep pot holes have developed over the past three weeks, excarcerbated by recent rain"
18,102,Pothole from rain,General,"There's quite a deep pothole here at the central intersection in Cooranbong, which could cause damage to vehicles that drop a wheel into it."
19,1020,Pothole,General,"Quite deep pothole in front of fontenoy park on the way to lane cove road. It has been there for quite a while, but the last rains have made it worse and it is quite dangerous now as many vehicles can't dodge it on time."
20,1021,Pothole,General,"Quite deep pothole in front of fontenoy park on the way to lane cove road. It has been there for quite a while, but the last rains have made it worse and it is quite dangerous now as many vehicles can't dodge it on time."
21,1023,Time for another try,General,This one looks to have been patched before but it's re-emerged!
22,1024,Small potholes in middle of road just before bridge,General,The road is starting to open up just before the bridge heading from Morisset.
23,1025,Deep potholes near Deeves Road,General,Here's some deep potholes right on the main wheel line on Freemans Drive. Could definitely cause car damage.
24,1026,Large pothole needs filling/repair,General,V.Near the entry to 41 Oak Rd on left side as your drive along Oak Rd from Coachwood Rd
25,1027,Mr hort,General,The road conditions in wagga are poorand we seem to pay a lot in rates and we need a lot of our roads resurfaced there rough and very bad state . I sure wagga residents and rate pays would appreciate something done .
26,103,Graffiti / Tree Removal / Broken Conctete Kerb,General,Removal of graffiti is needed from the back of the wall which separates the centre from the walkway of Fadden Shopping Centre the hairdresser end facing government land which is unsightly to the residents living nearby. The removal of a fallen tree which is on government land off the cyclone fencing which separates the Tuggeranong Vet carpark from government land. The removal of a large block of concrete from the kerb/road running into the vet hospital carpark before it does some damage to clients vehicles. Thank you.
27,1030,Incorrect green light sequencing,General,"When proceeding east along Duffy, we usually need to wait for a green arrow at the Esplanade in order to turn right. When the arrow turns green, there are often up to six cars in Duffy Ave waiting to turn right. However, when that arrow turns green, traffic in Chilvers Rd gets a green arrow and cars speed through the intersection from the left at a very sharp angle at the same time waiting cars move to turn right from Duffy into The Esplanade. There have been several accidents and numerous near misses, the latest being me! This needs to be fixed yesterday."
28,1031,Flooding of Pathway,General,"Whenever there is heavy rain the pathway between Fitzroy Street and New South Wales Crescent floods. The water runs from Empire Cir across Fitzroy Street and along the pathway at the boundary of our building (Empire on the Park, 9 Fitzroy Street) in copious quantities getting into the basement garage of our building. The gutter and drains on Fitzroy Street are unable to cope with this water. Our front doors open onto this pathway, and when the pathway floods we are unable to safely get out of our building."
29,1032,Pothole in turning lane,General,"Large pothole appearing in the Patrick St turning lane from Newton Road. Loose bitumen lying on the road, with hole getting progressively bigger."
30,1033,Potholes in Westbound Lane,General,With all the rain there are potholes opening up in the middle of the lane. Currently fairly small but likely to grow in this wet!
31,1034,Large pothole,General,"Large pothole present middle of the road on the left side heading towards woy woy, put a hole in my tyre this morning. Very dangerous"
32,1035,Holes,General,There are several huge potholes in the middle and right lanes heading southbound on taren pt rd 200m before the traffic lights
33,1036,Right turn at lights,General,There is no right green arrow for cars turning into sandringham st therefore it means cars are often making dangerous turns it running red lights. There have been several near misses. I feel one day there will be a big accident.
34,1037,Pothole on road,General,"Hi, there is a sizeable pothole forming on the northern end of Karbo Street, Figtree 2525. Adjacent to property number 5. It is growing in size and is approximately 50cm wide and 15cm deep. There is also the possibility of damage being caused to parked vehicle with the loose material being picked up from passing vehicles."
35,1038,Pothole,General,Pothole
36,1039,Davies Rd Padstow Hts travelling in the direction Menai,General,Section on Davies Rd after the latest resurfaced section which was done after Burradoo Street intersection still travelling towards Alma Rd intersection the section of road on the left lane is needing a resurface too. As I drive on the road and there is noway to stop and take an image of this section this is approx.
37,104,Bag of gravel on road,General,"There is a burst bag of gravel near the bus stop on Bridge Rd, the stones are loose and cyclists need to swerve to avoid. As this is a high traffic/cycle area it's quite a hazard."
38,1042,"Pot Holes and missing Street sign - Liam St, Schofields",General,"There are a number of fixes required at the intersection of Liam Street and St. Albans Road, Schofields. 1. Two big pot holes at the intersection 2. Liam Street - sign post is missing 3. Give Way sign is falling down 4. Intersection of Liam St and St. Albans Road is always filled with water and dirt because the level of the road suddenly drops here. Needs to be raised slightly."
39,1043,Street light's out,General,Street light near 121 st johns rd auburn 2144 is out for more than a month. Very dark at night and can't see the padestarian while driving in or out of the drive way. Please need an immediate fix. Thanks you
40,1044,Street light out,General,Street light on corner of park in Dural Cres has been out for several months.
41,1045,Speed Limit Should be 40 & Dangerous/Negligent Driving,General,"Households in Milford Drive area (Sovereign Hills Estate) need to be educated about driving safely to road conditions. Narrow roadway with multiple blind corners, particularly towards Withers Road end. Cars flying around corners coming off bottom of hill. Overtaking cars that have reversed out of driveways, including overtaking up on footpaths, cutting corners when no view of oncoming traffic or parked cars, tailgating and abusing drivers who are driving with more care and concern for residents and other road users. A more appropriate speed limit would be 40. Signs needed at bottom of hill approaching blind corners such as "" slow down - cars reversing"", ""Keep Left"" sign on the corners near Mindaribba - most cars cutting these corners are driving too fast for the road conditions. Multiple accidents and near misses. Alternatively a low concrete barrier in middle to force cars to stay on their side but busses can manoeuvre over/ around. Possible a flyer/notice to all households about safe driving / more respect for fellow residents and road users. Council could request police to make regular patrols of area. Of particular concern is the general stereotype that such unsafe and disrespectful road use is mostly from P Plate drivers. Sadly, in this area the majority of drivers displaying blatant unsafe behaviours are adults, very often with child passengers who will grow up thinking it is OK to drive in such a manner in a busy residential area."
42,105,Grass,General,Nature strip(s) need mowing please.
43,1054,Speed limit,General,No motorists seems to know the speed limit on this part of hampden rd . There is no speed limit signs
44,1059,Road,General,The whole Laneway needs to be resurfaced
45,106,Street lighting,General,Street light on a path from Nicklin cres to Stoppford between numbers 21 and 23 is not working
