index,id,title,category,comment
0,10075,Street light not working,Street Lighting,Street light not working. Located on Iona drive Rathnapish Carlow on Pole no EB937
1,10134,Street lights,Street Lighting,Street light not working on pole eb 937 Iona drive Carlow
2,10684,"Slaney View Drive Tullow, Co Carlow",Road or path defects,Manhole outside no 10 Slaney View Drive is sinking
3,11014,Street light not working,Street Lighting,Hi i would like to report the street light post number 9 in the fairways carlow town. It's not working and its quite dark in the area. Thank you
4,11024,Street Light,Street Lighting,The Street light entering Station Manor is not working. There is no number in the lamp stand.
5,11820,Broken Street Light,Street Lighting,"Light gone in pole 2, Oak Grove, Royal Oak Road, Bagenalstown, Co Carlow (between house number 9 and the Pres/De La Salle College)."
6,11829,Faulty street light,Street Lighting,Light outside 15 is not working no pole number reported
7,12197,Street lights not working,Street Lighting,"NewStreet,Green Road,street lights not working. Light Number- 2 Light Number- 4 Light Number- 5"
8,12444,Street light not working,Street Lighting,Light not working pole number EN267
9,12606,Faulty Lighting,Street Lighting,The first four lights do not turn on at dusk but do light up much later at night and go off again before dawn
10,12808,Street light out,Street Lighting,On street lighting not working
11,12839,Street lights,Street Lighting,Two street lights not functioning outside houses 49-53 Feltham Hall. Can you please repair. Thanks
12,13231,Not working street light,Street Lighting,"There is not working lamp outside my house (20 the green chapelstown gate, carlow) there is not many lamps around here so area got very dark"
13,13925,Bulb gone,Street Lighting,Pole no 11 in pairc Mhuire Bagenalstown has a bulb gone. it's opposite no 59. there are alot of eldery people in the area and it's very dangerous as a result
14,13970,No streeet light,Street Lighting,Street light out between conway park and saint brigids crescent. Conplete darkness really dangerous for pedestrians and local break ins happening in that area due to no light areas. Has been reported numerous times
15,14035,Street light,Street Lighting,"We have reported this street light not working, every week for the last four weeks and nothing has been done. There are no numbers on the poles as yet but the offending lamp is outside no 27 Moyacomb Meadow, Clonegal"
16,14147,Street light,Street Lighting,Street light is out and place is very dark people might be afraid to walk up by here to find what could be lurking in the dark
17,14204,Street light,Street Lighting,"Street lights goes on and off outside 26,Moyacomb Meadows and 27 Moyacomb Meadows.Clonegal"
18,14317,Street light,Street Lighting,Pole number 11 street light is out.
19,14430,Street light not working,Street Lighting,Streetlight gone. Only light on the street do its very dark
20,14735,Street lighting,Street Lighting,None of the street lights upon entry to the Quinagh Green Estate are working.
21,15146,Broken street light,Street Lighting,Street light at the junction of R726 and L1026 is not operating. This is a dangerous junction and is in need of attention
22,15315,Street Light Faulty,Street Lighting,"Hi, just reporting a street light not working in the Kylemore Hill estate in Rathoe, Co.Carlow."
23,15590,Street light not working,Street Lighting,The street light is not working outside my house since last Thursday. The pole number is EN 270. I would appreciate it if you could fix this soon as the corner is very dark without it. Many thanks.
24,15606,Street light out,Street Lighting,Can you please repair the street light outside 9 parkgate tullow
25,15672,Adondoned car,Litter and Illegal Dumping,"There is an abandoned car parked in Oakley heights, parked opposite row of houses on the left hands side of Oakley heights"
26,15891,No street lighting in quinagh green,Street Lighting,None of the street lights in Quinagh Green are working. Have only worked 3 days since 12 May. Problem reported to airtricity on numerous occasions.
27,16315,Abondoned car,Litter and Illegal Dumping,"Abandoned car in slaney view drive estate, Tullow"
28,17231,Road full of potholes,Road or path defects,The L7006 has potholes from one end of the road where you join from the L3002 to the junction of the Ballynakill crossroads. The potholes are very wide and deep and need to be filled urgently. It is especially dangerous when it has been raining as drivers cannot see where all the potholes are due to them been filled with water. There is also two large potholes on the nearby road L7007 at the small bridge as you enter Coolnacuppogue. Thanks very much.
29,17768,Light not working,Street Lighting,Light is gone on pole number 6
